year;country;commodity_group;main_commercial_species;preservation;presentation;value(EUR);volume(kg);price
2015;France;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     10678000,00;      1381000,00;            7,73
2015;France;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;       263000,00;        61000,00;            4,31
2015;Croatia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      5910890,91;      4001900,00;            1,48
2015;Croatia;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     25746409,82;      4074780,00;            6,32
2015;Ireland;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2461909,67;       803000,00;            3,07
2007;Netherlands;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;      1100000,00;      1000000,00;            1,10
2007;France;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    111986000,00;     72760000,00;            1,54
2007;Hungary;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2007;Hungary;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      1579000,00;       908000,00;            1,74
2007;Ireland;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       257000,00;            0,00;
2007;Ireland;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;      1198000,00;       330000,00;            3,63
2015;Italy;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      1191611,76;       139180,00;            8,56
2011;Cyprus;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     17279000,00;      3056000,00;            5,65
2011;Greece;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;      3395170,00;       575000,00;            5,90
2011;Greece;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      6437657,00;      2389000,00;            2,69
2011;Spain;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;      5586000,00;      1755000,00;            3,18
2011;Spain;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      4158000,00;       434000,00;            9,58
2011;Spain;Cephalopods;Octopus;PS5 Unspecified;PR4 Unspecified;        16000,00;         3000,00;            5,33
2011;Spain;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;     48098000,00;      7337000,00;            6,56
2011;France;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      4662000,00;      4200000,00;            1,11
2011;France;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;    394750000,00;     84454000,00;            4,67
2015;Italy;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;         4800,00;         1200,00;            4,00
2015;Lithuania;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       458337,67;        94170,00;            4,87
2015;Latvia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      1112144,80;       563000,00;            1,98
2015;Poland;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;         1016,11;           30,00;           33,87
2015;Poland;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;        15553,78;         4000,00;            3,89
2015;Romania;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       404245,06;       195910,00;            2,06
2011;Hungary;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       326000,00;        46000,00;            7,09
2011;Ireland;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;         3000,00;         3000,00;            1,00
2011;Italy;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      1569000,00;       340000,00;            4,61
2011;Italy;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       724000,00;       156000,00;            4,64
2011;Italy;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;     55144000,00;      6672000,00;            8,26
2011;Italy;Bivalves and other molluscs and aquatic invertebrates;Mussel, other;PS5 Unspecified;PR4 Unspecified;     60257000,00;     79520000,00;            0,76
2011;Italy;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;      7835000,00;       435000,00;           18,01
2004;Czech Republic;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     28139000,00;     17846000,00;            1,58
2011;Italy;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;      1200000,00;            0,00;
2011;Netherlands;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;      3082000,00;      2680000,00;            1,15
2004;Germany;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;       271000,00;        45000,00;            6,02
2004;Germany;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      3862000,00;       322000,00;           11,99
2011;Portugal;Other marine fish;Seabass, other;PS5 Unspecified;PR4 Unspecified;          170,00;           20,00;            8,50
2015;Sweden;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;     10153685,85;      1675000,00;            6,06
2015;Slovenia;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;       434430,00;        70000,00;            6,21
2015;Slovenia;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;        55000,45;         5000,00;           11,00
2015;Slovakia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2909948,22;       937510,00;            3,10
2003;Italy;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;      2320000,00;       400000,00;            5,80
2003;Lithuania;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        41000,00;        49000,00;            0,84
2003;Bulgaria;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        26000,00;        11000,00;            2,36
2003;Bulgaria;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2015;United Kingdom;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       107118,31;         5310,00;           20,17
2015;United Kingdom;Flatfish;Halibut, Atlantic;PS5 Unspecified;PR4 Unspecified;       887247,88;        56000,00;           15,84
2015;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Scallop;PS5 Unspecified;PR4 Unspecified;        90237,51;         5000,00;           18,05
2015;United Kingdom;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     61680663,82;     15188090,00;            4,06
2003;Austria;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;        27000,00;         5000,00;            5,40
2016;Bulgaria;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;       161100,00;        48550,00;            3,32
2006;United Kingdom;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;       444000,00;        62000,00;            7,16
2007;Austria;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        42000,00;        10000,00;            4,20
2000;Croatia;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       255000,00;        96000,00;            2,66
2000;Croatia;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;        42000,00;        35000,00;            1,20
2000;Croatia;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      6929000,00;       800000,00;            8,66
2016;Bulgaria;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       149330,00;        76250,00;            1,96
2016;Bulgaria;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;        14711,36;         8142,00;            1,81
2016;Cyprus;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        12000,00;          700,00;           17,14
2003;Slovenia;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2003;Slovenia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2355000,00;       895000,00;            2,63
2011;Sweden;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;       895000,00;      1470000,00;            0,61
2011;Slovenia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      1852000,00;       611000,00;            3,03
2011;Slovakia;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       102000,00;        25000,00;            4,08
2011;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;        54000,00;        15000,00;            3,60
2011;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Mussel, other;PS5 Unspecified;PR4 Unspecified;     20702000,00;     26158000,00;            0,79
2006;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;       154000,00;         4000,00;           38,50
2006;United Kingdom;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;            0,00;      9999000,00;
2012;Bulgaria;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;        59000,00;        25000,00;            2,36
2002;Germany;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;    135246000,00;     24184000,00;            5,59
2002;Denmark;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Denmark;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;     11098000,00;      1166000,00;            9,52
2002;Denmark;Flatfish;Sole, common;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Bulgaria;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Cyprus;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      6599000,00;      1266000,00;            5,21
2012;Germany;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;       146000,00;        36000,00;            4,06
2012;Germany;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     37991000,00;     10052000,00;            3,78
2002;Czech Republic;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       120000,00;        42000,00;            2,86
2002;Germany;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      1050000,00;       150000,00;            7,00
2016;Czech Republic;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      3075510,00;       667200,00;            4,61
2002;Greece;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;        53000,00;        10000,00;            5,30
2002;Spain;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;    104890000,00;      5185000,00;           20,23
2002;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Spain;Other marine fish;Red mullet;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Ireland;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      4675000,00;      1693000,00;            2,76
2002;Italy;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2002;Italy;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;     42715000,00;      7176000,00;            5,95
2006;Malta;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      4828000,00;       912000,00;            5,29
2006;Malta;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2016;Germany;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       902000,00;        21000,00;           42,95
2016;Denmark;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       826500,00;       217000,00;            3,81
2016;Denmark;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;     10895730,00;      1033460,00;           10,54
2016;Greece;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      4869110,00;       473600,00;           10,28
2016;Greece;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;         4570,00;         2000,00;            2,29
2016;Greece;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;     17418690,00;      3190100,00;            5,46
2016;Greece;Flatfish;Sole, common;PS5 Unspecified;PR4 Unspecified;         8470,00;         1600,00;            5,29
2002;Italy;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Austria;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      2163000,00;       633000,00;            3,42
2000;Austria;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;         8000,00;         2000,00;            4,00
2000;Austria;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;         8000,00;         2000,00;            4,00
2016;Spain;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      1350190,00;        70190,00;           19,24
2016;Spain;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;     68413360,00;      4562280,00;           15,00
2016;Spain;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;      9728050,00;      1790390,00;            5,43
2000;Spain;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Denmark;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Denmark;Groundfish;Cod;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Denmark;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Estonia;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Greece;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       301000,00;       115000,00;            2,62
2000;Greece;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2000;Spain;Crustaceans;Rock lobster and sea crawfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2012;Estonia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      1022000,00;       455000,00;            2,25
2012;Greece;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;       454000,00;        30000,00;           15,13
2000;France;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2012;Greece;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;    230567000,00;     50933000,00;            4,53
2012;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    100300000,00;    203664000,00;            0,49
2012;Spain;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;     37266000,00;      7758000,00;            4,80
2005;United Kingdom;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2005;United Kingdom;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;         5000,00;         1000,00;            5,00
2006;Austria;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2006;Austria;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      1225000,00;       363000,00;            3,37
2006;Belgium;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2006;Belgium;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2006;Belgium;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       287000,00;        60000,00;            4,78
2006;Belgium;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       294000,00;        68000,00;            4,32
2006;Portugal;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;        10000,00;         2000,00;            5,00
2006;Portugal;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2058000,00;       943000,00;            2,18
2006;Sweden;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     17057000,00;      5185000,00;            3,29
2006;Germany;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     37045000,00;     10584000,00;            3,50
2006;Denmark;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       658000,00;       196000,00;            3,36
2006;Estonia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;         2000,00;         1000,00;            2,00
2006;Estonia;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2006;Greece;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;    150122000,00;     34040000,00;            4,41
2006;Greece;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      8287000,00;      3187000,00;            2,60
2006;Spain;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;     36543000,00;      2572000,00;           14,21
2006;Czech Republic;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;        99000,00;        47000,00;            2,11
2006;Germany;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;            0,00;         1000,00;
2006;Spain;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;      1241000,00;       135000,00;            9,19
2006;Spain;Flatfish;Sole, other;PS5 Unspecified;PR4 Unspecified;       492000,00;        43000,00;           11,44
2006;Finland;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     45500000,00;     12070000,00;            3,77
2006;France;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;        13000,00;            0,00;
2006;France;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      4696000,00;            0,00;
2006;France;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;      5564000,00;      1410000,00;            3,95
2012;France;Crustaceans;Shrimp, warmwater;PS5 Unspecified;PR4 Unspecified;       941000,00;        44000,00;           21,39
2012;France;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    139355000,00;     77139000,00;            1,81
2012;France;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      8941000,00;      1316000,00;            6,79
2016;France;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;      2849000,00;       300000,00;            9,50
2016;Croatia;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     26775730,00;      4100960,00;            6,53
2006;Spain;Cephalopods;Octopus;PS5 Unspecified;PR4 Unspecified;        60000,00;        11000,00;            5,45
2001;Latvia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       642000,00;       442000,00;            1,45
2016;Hungary;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      2408144,37;       886764,00;            2,72
2016;Ireland;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;        99100,00;        15000,00;            6,61
2016;Lithuania;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       455300,00;       127210,00;            3,58
2012;Hungary;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      5141918,72;      2077000,00;            2,48
2012;Hungary;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       177000,00;        34000,00;            5,21
2012;Hungary;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       246000,00;        45000,00;            5,47
2012;Ireland;Bivalves and other molluscs and aquatic invertebrates;Scallop;PS5 Unspecified;PR4 Unspecified;       282000,00;        43000,00;            6,56
2012;Italy;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      1529000,00;       340000,00;            4,50
2012;Italy;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       705000,00;       155000,00;            4,55
2001;France;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;      9238000,00;      1643000,00;            5,62
2012;Italy;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;       221000,00;        45000,00;            4,91
2012;Italy;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        71000,00;        10000,00;            7,10
2012;Italy;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     34876000,00;      5400000,00;            6,46
2012;Lithuania;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        53089,90;        16470,00;            3,22
2012;Latvia;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;         2000,00;            0,00;
2012;Latvia;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;         1000,00;            0,00;
2012;Latvia;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;         5000,00;         1000,00;            5,00
2012;Malta;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     11033443,35;      2604500,00;            4,24
2012;Poland;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;      1958106,00;       620000,00;            3,16
2012;Poland;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       199358,00;        27000,00;            7,38
2016;Latvia;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      1209000,00;       576000,00;            2,10
2016;Latvia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       340000,00;        82000,00;            4,15
2016;Malta;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;    133347348,70;     10102577,00;           13,20
2016;Malta;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;       925153,97;       103886,00;            8,91
2016;Netherlands;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;      2885000,00;       390000,00;            7,40
2016;Poland;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       973784,10;       373462,80;            2,61
2016;Poland;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     41069160,74;     18330343,70;            2,24
2016;Poland;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       641325,76;       144954,20;            4,42
2016;Portugal;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;     23398390,00;      2452520,00;            9,54
2016;Portugal;Bivalves and other molluscs and aquatic invertebrates;Mussel, other;PS5 Unspecified;PR4 Unspecified;      2432601,86;      1474300,00;            1,65
2016;Portugal;Flatfish;Sole, common;PS5 Unspecified;PR4 Unspecified;        58170,00;         4290,00;           13,56
2016;Portugal;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      1816830,00;       675730,00;            2,69
2016;Romania;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     18398481,76;     10304127,00;            1,79
2016;Romania;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       355453,37;       161390,00;            2,20
2016;Romania;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       614964,30;       166955,00;            3,68
2012;Romania;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;        68000,00;        31000,00;            2,19
2012;Romania;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;        11000,00;         9000,00;            1,22
2012;Slovenia;Bivalves and other molluscs and aquatic invertebrates;Clam;PS5 Unspecified;PR4 Unspecified;         1000,00;            0,00;
2012;Slovakia;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      2420000,00;       767000,00;            3,16
2012;United Kingdom;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;       298000,00;        35000,00;            8,51
2013;Austria;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     12161835,00;      2066000,00;            5,89
2016;Sweden;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      9126300,00;      1760000,00;            5,19
2016;Sweden;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;      1149130,00;       117000,00;            9,82
2016;Sweden;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     39322840,00;     11552000,00;            3,40
2016;Slovakia;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;        77000,00;        11000,00;            7,00
2016;United Kingdom;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       252191,94;        22620,00;           11,15
2017;Austria;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;       163800,00;         9200,00;           17,80
2017;Bulgaria;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      6989197,24;      4200327,00;            1,66
2017;Bulgaria;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;       204060,37;        40007,00;            5,10
2017;Bulgaria;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;      1322222,83;      1712585,00;            0,77
2017;Cyprus;Other marine fish;Seabream, gilthead;PS5 Unspecified;PR4 Unspecified;     24007500,00;      4950000,00;            4,85
2013;Belgium;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       749000,00;       173000,00;            4,33
2013;Bulgaria;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       671682,00;       187000,00;            3,59
2003;Netherlands;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;      3005000,00;      2765000,00;            1,09
2003;Netherlands;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2013;Czech Republic;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       479330,00;        93000,00;            5,15
2003;Portugal;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2003;Portugal;Crustaceans;Shrimp, miscellaneous;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2003;Portugal;Other marine fish;Seabream, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2003;Portugal;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;      2390000,00;       323000,00;            7,40
2003;Romania;Miscellaneous aquatic products;Other products;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2006;Hungary;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       183000,00;        42000,00;            4,36
2006;Ireland;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       238000,00;            0,00;
2006;Italy;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       426000,00;       122000,00;            3,49
2001;Bulgaria;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      4237000,00;      1503000,00;            2,82
2001;Bulgaria;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2001;Bulgaria;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      3247000,00;       855000,00;            3,80
2003;Greece;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;      5049000,00;      1870000,00;            2,70
2013;Germany;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      3591891,00;       845000,00;            4,25
2013;Germany;Salmonids;Salmon;PS5 Unspecified;PR4 Unspecified;       317246,00;        19000,00;           16,70
2013;Denmark;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     86052860,87;     29780983,00;            2,89
2013;Estonia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;          150,00;            0,00;
2013;Greece;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;         1889,16;          630,00;            3,00
2003;Spain;Small pelagics;Mackerel;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2017;Czech Republic;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       627400,00;       100000,00;            6,27
2017;Germany;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      2527900,00;       350100,00;            7,22
2017;Germany;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;     11369900,00;      4657700,00;            2,44
