year;country;commodity_group;main_commercial_species;preservation;presentation;value(EUR);volume(kg);price
2015;Italy;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     43314568,05;     52525620,00;            0,82
2011;Germany;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;      1311000,00;       375000,00;            3,50
2011;Denmark;Flatfish;Turbot;PS5 Unspecified;PR4 Unspecified;       355000,00;         5000,00;           71,00
2011;Estonia;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;          200,00;            0,00;
2011;Greece;Tuna and tuna-like species;Tuna, bluefin;PS5 Unspecified;PR4 Unspecified;      1408000,00;        95000,00;           14,82
2011;Greece;Flatfish;Sole, common;PS5 Unspecified;PR4 Unspecified;        18788,00;         2000,00;            9,39
2011;Spain;Crustaceans;Freshwater crayfish;PS5 Unspecified;PR4 Unspecified;      1800000,00;            0,00;
2011;Spain;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;         1000,00;         3000,00;            0,33
2011;Spain;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;     87256000,00;     17548000,00;            4,97
2011;Spain;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;    112402000,00;    208583000,00;            0,54
2015;Lithuania;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;       837769,43;       243840,00;            3,44
2015;Latvia;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;         6054,00;         1000,00;            6,05
2015;Poland;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     38050699,62;     13298610,00;            2,86
2015;Poland;Freshwater fish;Tilapia;PS5 Unspecified;PR4 Unspecified;      2270500,25;       500000,00;            4,54
2004;Spain;Bivalves and other molluscs and aquatic invertebrates;Molluscs and aquatic invertebrates, other;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2004;Spain;Crustaceans;Crab;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2004;Belgium;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;       724000,00;       400000,00;            1,81
2015;Portugal;Miscellaneous aquatic products;Seaweed and other algae;PS5 Unspecified;PR4 Unspecified;        81618,00;         1980,00;           41,22
2011;France;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;    103675000,00;     31926000,00;            3,25
2011;Hungary;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       383000,00;        83000,00;            4,61
2011;Italy;Bivalves and other molluscs and aquatic invertebrates;Oyster;PS5 Unspecified;PR4 Unspecified;       227000,00;        43000,00;            5,28
2011;Italy;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       300910,00;       104200,00;            2,89
2004;Germany;Freshwater fish;Other freshwater fish;PS5 Unspecified;PR4 Unspecified;      9887000,00;      6037000,00;            1,64
2011;Ireland;Salmonids;Other salmonids;PS5 Unspecified;PR4 Unspecified;       280000,00;        40000,00;            7,00
2011;Malta;Other marine fish;Other marine fish;PS5 Unspecified;PR4 Unspecified;      1619576,02;       100330,00;           16,14
2011;Netherlands;Freshwater fish;Eel;PS5 Unspecified;PR4 Unspecified;     16503000,00;      2050000,00;            8,05
2004;Germany;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;       942000,00;       145000,00;            6,50
2011;Netherlands;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;PS5 Unspecified;PR4 Unspecified;     49376000,00;     36700000,00;            1,35
2011;Poland;Salmonids;Trout;PS5 Unspecified;PR4 Unspecified;     37756618,73;     13308750,00;            2,84
2004;Germany;Freshwater fish;Pike-perch;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2011;Portugal;Bivalves and other molluscs and aquatic invertebrates;Abalone;PS5 Unspecified;PR4 Unspecified;        67000,00;        92000,00;            0,73
2003;Italy;Freshwater fish;Freshwater catfish;PS5 Unspecified;PR4 Unspecified;            0,00;            0,00;
2011;Portugal;Other marine fish;Seabass, European;PS5 Unspecified;PR4 Unspecified;      2735000,00;       460000,00;            5,95
2011;Romania;Freshwater fish;Carp;PS5 Unspecified;PR4 Unspecified;      9053000,00;      6374000,00;            1,42
2011;Romania;Freshwater fish;Pike;PS5 Unspecified;PR4 Unspecified;       148000,00;        34000,00;            4,35
